cage code,animal code,model,drug,Weight_W1,Weight_W2,Weight_W3,Weight_W4,Euthanisation_Weight,OF_Distance_totalcm,OF_Velocity_meancms,FST_preswim_strug,FST_preswim_swim,FST_preswim_imm,FST_swim_strug,FST_swim_swim,FST_swim_imm,EPM_close_freq,EPM_close_secs,EPM_open_freq,EPM_open_secs,EPM_open_latency,EPM_fullopen_freq,EPM_fullopen_secs,EPM_fullopen_latency
BL8,BL82,FRL,Control,368,414,444,449,458,1616.99,5.44441,75,165,60,185,60,55,13,217,6,35,58,9,44,37
BJ0,BJ01,FSL,Control,342,348,350,354,354,1738.64,5.95424,40,130,130,150,110,40,13,202,1,4,142,5,9,142
BJ0,BJ02,FSL,Control,336,341,357,363,363,1271.77,4.40058,85,140,75,130,105,65,15,201,6,52,84,5,57,84
II1,II11,FSL,Prebiotics,330,343,363,366,366,2077.64,7.09091,60,125,115,100,125,75,14,243,0,0,0,6,11,36
II1,II12,FSL,Prebiotics,332,345,365,368,375,1615.6,6.48837,65,110,125,65,115,120,15,162,6,62,118,9,74,40
CX7,CX71,FRL,Prebiotics,399,425,445,448,453,1485.49,5.01854,65,205,30,140,75,85,14,156,10,80,44,11,135,43
CX7,CX72,FRL,Prebiotics,415,450,478,484,487,1077.06,3.66348,90,125,85,150,90,60,9,161,4,58,53,8,83,41
TW2,TW21,FRL,Control,325,367,395,400,410,1764.01,6.1895,130,115,55,90,110,100,11,149,6,45,56,10,71,41
TW2,TW22,FRL,Control,341,373,402,410,414,2008.98,7.30537,90,150,60,215,50,35,12,186,4,59,51,7,73,43
QM6,QM61,FRL,Prebiotics,332,380,407,415,419,1279.31,4.36624,110,170,20,175,30,95,14,243,3,18,90,4,30,36
QM6,QM62,FRL,Prebiotics,332,367,383,392,392,1301.95,4.60055,160,60,80,135,85,80,9,120,6,130,0,6,139,0
